Publisher Name,Publisher Registry Id,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,Frequency
ACTIONAID INTERNATIONAL KENYA,aaik,0,0,1,1,0,0,0,0,0,0,0,0,Annual
ADD International (Action on Disability and Development),addinternational,1,2,0,0,0,0,0,0,0,0,0,0,Annual
ADRA-UK,adrauk,0,0,0,1,0,0,0,0,0,0,0,0,Annual
AECOM,aecom,0,1,0,1,0,0,0,0,0,0,0,0,Annual
AFELT,afelt,0,1,0,1,0,0,0,0,0,0,0,0,Annual
AFEW International,afewinternational,1,0,0,0,0,0,0,0,0,0,0,0,Annual
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics,1,1,1,1,0,0,0,0,0,0,0,0,Annual
APT Action on Poverty,apt,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Able Child Africa,ablechildafrica,1,0,0,1,0,0,0,0,0,0,0,0,Annual
Accelerator Nepal,acceleratornepal,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Access to Medicine Foundation,atmf,1,0,0,1,0,0,0,0,0,0,0,0,Annual
Accountability Lab,alab,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Action Against Hunger UK,acf,0,0,1,0,0,0,0,0,0,0,0,0,Annual
ActionAid Rwanda,aar,0,1,0,0,0,0,0,0,0,0,0,0,Annual
ActionAid UK,aauk,1,1,0,1,0,0,0,0,0,0,0,0,Annual
Adam Smith International,asi,1,0,0,0,0,0,0,0,0,0,0,0,Annual
Administração de Infra-Estruturas de Águas e Saneamento,aias,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Afghanaid,afghanaid,1,0,0,1,0,0,0,0,0,0,0,0,Annual
African Center for Economic Transformation (ACET),acet,0,0,1,0,0,0,0,0,0,0,0,0,Annual
African Development Bank,afdb,0,1,1,1,0,0,0,0,0,0,0,0,Annual
African Initiatives,ai_1064413,1,0,0,0,0,0,0,0,0,0,0,0,Annual
African Women's Development Fund,awdf,0,0,0,1,0,0,0,0,0,0,0,0,Annual
AgDevCo,agdevco,0,0,2,0,0,0,0,0,0,0,0,0,Annual
Aga Khan Foundation (United Kingdom),akfuk73,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Agence Française de Développement,afd,2,0,1,2,0,0,0,0,0,0,0,0,Annual
Agência de Desenvolvimento do Vale do Zambeze,agencia_do_zambeze,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Aidsfonds - Soa Aids Nederland,nl-kvk-41207989,0,0,1,1,0,0,0,0,0,0,0,0,Annual
Akvo Foundation,akvo,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Alliance of Religions and Conservation,alliance_of_religions_and_conservation,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Amref Health Africa Headquarters,amrefhq,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Anti-Slavery International,asil,1,0,0,0,0,0,0,0,0,0,0,0,Annual
Ashoka East Africa,ashoka,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Asian Development Bank,asdb,0,1,1,1,0,0,0,0,0,0,0,0,Annual
Association pour la Promotion de l'Education et de la Formation à l'Etranger,apefe,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Australia - Department of  Foreign Affairs and Trade,ausgov,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Avanti Communications Plc,ava_admin,1,0,0,0,0,0,0,0,0,0,0,0,Annual
Belgian Development Cooperation,be-dgd,0,0,1,1,0,0,0,0,0,0,0,0,Annual
Bill & Melinda Gates Foundation,bmgf,1,1,0,2,0,0,0,0,0,0,0,0,Annual
Bond,bond,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Both ENDS,bothends,0,1,0,1,0,0,0,0,0,0,0,0,Annual
